Designator;Library;Part Name;X;Y;Rotation;Z;Pattern;Head;Slot;NHP;NCP;Nozzle;Turn;TS;MS;PR;MArea;Skip
C301;Telit;1BB01T0448;53.77;40.21;-90;0;1;1;10007R;10;112;226;2;1;2;1000;1;
C301;Telit;1BB01T0448;75.9;40.21;-90;0;2;1;10007R;12;114;226;2;2;1;1000;1;
C301;Telit;1BB01T0448;98.03;40.21;-90;0;3;1;10007R;15;117;226;1;4;5;1000;1;
C301;Telit;1BB01T0448;118.23;81.79;90;0;4;1;10007R;7;127;226;2;4;14;1000;1;
C301;Telit;1BB01T0448;96.1;81.79;90;0;5;1;10007R;15;117;226;2;5;16;1000;1;
C301;Telit;1BB01T0448;73.97;81.79;90;0;6;1;10007R;7;127;226;1;1;11;1000;1;
C302;Telit;1BB01T0564;54.97;40.985;180;0;1;1;10005L;9;111;226;1;3;1;1000;1;
C302;Telit;1BB01T0564;77.1;40.985;180;0;2;1;10005L;1;121;226;2;3;10;1000;1;
C302;Telit;1BB01T0564;99.23;40.985;180;0;3;1;10005L;2;122;226;2;4;11;1000;1;
C302;Telit;1BB01T0564;117.03;81.015;0;0;4;1;10005L;1;121;226;1;2;16;1000;1;
C302;Telit;1BB01T0564;94.9;81.015;0;0;5;1;10005L;10;112;226;1;4;15;1000;1;
C302;Telit;1BB01T0564;72.77;81.015;0;0;6;1;10005L;2;122;226;1;1;13;1000;1;
C303;Telit;1BB01T0325;60.21;57.005;180;0;1;1;10007L;11;113;226;2;2;7;1000;1;
C303;Telit;1BB01T0325;82.34;57.005;180;0;2;1;10007L;5;125;226;2;3;3;1000;1;
C303;Telit;1BB01T0325;104.47;57.005;180;0;3;1;10007L;2;122;226;3;3;16;1000;1;
C303;Telit;1BB01T0325;111.79;64.995;0;0;4;1;10007L;14;116;226;2;5;15;1000;1;
C303;Telit;1BB01T0325;89.66;64.995;0;0;5;1;10007L;6;126;226;2;4;4;1000;1;
C303;Telit;1BB01T0325;67.53;64.995;0;0;6;1;10007L;14;116;226;1;4;10;1000;1;
C306;Telit;1BB01T0325;67.521;57.01;0;0;1;1;10007L;13;115;226;1;3;8;1000;1;
C306;Telit;1BB01T0325;89.651;57.01;0;0;2;1;10007L;5;125;226;1;2;4;1000;1;
C306;Telit;1BB01T0325;111.781;57.01;0;0;3;1;10007L;6;126;226;1;1;2;1000;1;
C306;Telit;1BB01T0325;104.479;64.99;180;0;4;1;10007L;6;126;226;3;1;13;1000;1;
C306;Telit;1BB01T0325;82.349;64.99;180;0;5;1;10007L;5;125;226;3;2;8;1000;1;
C306;Telit;1BB01T0325;60.219;64.99;180;0;6;1;10007L;9;111;226;2;1;13;1000;1;
R201;Telit;1AA01T0501;70.045;36.085;-90;0;1;3;30005L;15;317;226;3;15;6;1000;1;
R201;Telit;1AA01T0501;92.175;36.085;-90;0;2;3;30005L;5;325;226;1;4;13;1000;1;
R201;Telit;1AA01T0501;114.305;36.085;-90;0;3;3;30005L;7;327;226;1;2;12;1000;1;
R201;Telit;1AA01T0501;101.955;85.915;90;0;4;3;30005L;5;325;226;4;4;2;1000;1;
R201;Telit;1AA01T0501;79.825;85.915;90;0;5;3;30005L;10;312;226;3;10;15;1000;1;
R201;Telit;1AA01T0501;57.695;85.915;90;0;6;3;30005L;1;321;226;3;8;12;1000;1;
R202;Telit;1AA01T0501;69.445;36.085;-90;0;1;3;30005L;5;325;226;3;4;4;1000;1;
R202;Telit;1AA01T0501;91.575;36.085;-90;0;2;3;30005L;7;327;226;3;2;3;1000;1;
R202;Telit;1AA01T0501;113.705;36.085;-90;0;3;3;30005L;14;316;226;1;14;1;1000;1;
R202;Telit;1AA01T0501;102.555;85.915;90;0;4;3;30005L;6;326;226;2;3;12;1000;1;
R202;Telit;1AA01T0501;80.425;85.915;90;0;5;3;30005L;9;311;226;3;9;16;1000;1;
R202;Telit;1AA01T0501;58.295;85.915;90;0;6;3;30005L;1;321;226;2;8;13;1000;1;
R203;Telit;1AA01T0501;67.82;36.11;-90;0;1;3;30005L;14;316;226;3;14;7;1000;1;
R203;Telit;1AA01T0501;89.95;36.11;-90;0;2;3;30005L;8;328;226;3;1;5;1000;1;
R203;Telit;1AA01T0501;112.08;36.11;-90;0;3;3;30005L;15;317;226;1;15;14;1000;1;
R203;Telit;1AA01T0501;104.18;85.89;90;0;4;3;30005L;8;328;226;4;1;6;1000;1;
R203;Telit;1AA01T0501;82.05;85.89;90;0;5;3;30005L;3;323;226;4;6;1;1000;1;
R203;Telit;1AA01T0501;59.92;85.89;90;0;6;3;30005L;3;323;226;3;6;10;1000;1;
R204;Telit;1AA01T0501;66.97;36.085;-90;0;1;3;30005L;11;313;226;2;11;4;1000;1;
R204;Telit;1AA01T0501;89.1;36.085;-90;0;2;3;30005L;16;318;226;3;16;8;1000;1;
R204;Telit;1AA01T0501;111.23;36.085;-90;0;3;3;30005L;16;318;226;1;16;15;1000;1;
R204;Telit;1AA01T0501;105.03;85.915;90;0;4;3;30005L;7;327;226;2;2;10;1000;1;
R204;Telit;1AA01T0501;82.9;85.915;90;0;5;3;30005L;5;325;226;2;4;9;1000;1;
R204;Telit;1AA01T0501;60.77;85.915;90;0;6;3;30005L;2;322;226;3;7;11;1000;1;
R205;Telit;1AA01T0501;66.32;36.085;-90;0;1;3;30005L;13;315;226;3;13;9;1000;1;
R205;Telit;1AA01T0501;88.45;36.085;-90;0;2;3;30005L;6;326;226;3;3;1;1000;1;
R205;Telit;1AA01T0501;110.58;36.085;-90;0;3;3;30005L;13;315;226;1;13;4;1000;1;
R205;Telit;1AA01T0501;105.68;85.915;90;0;4;3;30005L;7;327;226;4;2;5;1000;1;
R205;Telit;1AA01T0501;83.55;85.915;90;0;5;3;30005L;11;313;226;3;11;14;1000;1;
R205;Telit;1AA01T0501;61.42;85.915;90;0;6;3;30005L;2;322;226;2;7;11;1000;1;
R206;Telit;1AA01T0501;64.67;36.085;90;0;1;3;30005L;4;324;226;3;5;2;1000;1;
R206;Telit;1AA01T0501;86.8;36.085;90;0;2;3;30005L;10;312;226;1;10;6;1000;1;
R206;Telit;1AA01T0501;108.93;36.085;90;0;3;3;30005L;15;317;226;2;15;5;1000;1;
R206;Telit;1AA01T0501;107.33;85.915;-90;0;4;3;30005L;16;318;226;4;16;9;1000;1;
R206;Telit;1AA01T0501;85.2;85.915;-90;0;5;3;30005L;14;316;226;4;14;8;1000;1;
R206;Telit;1AA01T0501;63.07;85.915;-90;0;6;3;30005L;12;314;226;4;12;7;1000;1;
R207;Telit;1AA01T0501;65.67;36.09;-90;0;1;3;30005L;10;312;226;2;10;3;1000;1;
R207;Telit;1AA01T0501;87.8;36.09;-90;0;2;3;30005L;12;314;226;2;12;2;1000;1;
R207;Telit;1AA01T0501;109.93;36.09;-90;0;3;3;30005L;6;326;226;1;3;9;1000;1;
R207;Telit;1AA01T0501;106.33;85.91;90;0;4;3;30005L;6;326;226;4;3;3;1000;1;
R207;Telit;1AA01T0501;84.2;85.91;90;0;5;3;30005L;4;324;226;4;5;4;1000;1;
R207;Telit;1AA01T0501;62.07;85.91;90;0;6;3;30005L;3;323;226;2;6;8;1000;1;
R208;Telit;1AA01T0501;64.07;36.085;90;0;1;3;30005L;9;311;226;1;9;2;1000;1;
R208;Telit;1AA01T0501;86.2;36.085;90;0;2;3;30005L;11;313;226;1;11;3;1000;1;
R208;Telit;1AA01T0501;108.33;36.085;90;0;3;3;30005L;16;318;226;2;16;16;1000;1;
R208;Telit;1AA01T0501;107.93;85.915;-90;0;4;3;30005L;15;317;226;4;15;12;1000;1;
R208;Telit;1AA01T0501;85.8;85.915;-90;0;5;3;30005L;13;315;226;4;13;11;1000;1;
R208;Telit;1AA01T0501;63.67;85.915;-90;0;6;3;30005L;11;313;226;4;11;10;1000;1;
R209;Telit;1AA01T0501;63.145;36.11;90;0;1;3;30005L;1;321;226;1;8;8;1000;1;
R209;Telit;1AA01T0501;85.275;36.11;90;0;2;3;30005L;3;323;226;1;6;7;1000;1;
R209;Telit;1AA01T0501;107.405;36.11;90;0;3;3;30005L;14;316;226;2;14;1;1000;1;
R209;Telit;1AA01T0501;108.855;85.89;-90;0;4;3;30005L;1;321;226;5;1;1;1000;1;
R209;Telit;1AA01T0501;86.725;85.89;-90;0;5;3;30005L;2;322;226;4;7;15;1000;1;
