Board	Ref.	Pos X	Pos Y	Pos Z	Rotation	Part Number	Place Before	Gluing	Skip	Main Mark	Sub Mark	Sub Mark1	Sub Mark2	Carry Mode	Stack Target	Memo	Tag	Assign
1	C201	54.862	42.025	0.000	0.00	1BB01T0512		Yes	No	Mark1	Mark2			Arc			No	S38_1
8	C201	54.862	57.155	0.000	0.00	1BB01T0512		Yes	No	Mark1	Mark2			Arc			No	S38_1
9	C201	54.862	72.285	0.000	0.00	1BB01T0512		Yes	No	Mark1	Mark2			Arc			No	S38_1
2	C201	72.992	42.025	0.000	0.00	1BB01T0512		Yes	No	Mark1	Mark2			Arc			No	S38_1
7	C201	72.992	57.155	0.000	0.00	1BB01T0512		Yes	No	Mark1	Mark2			Arc			No	S38_1
10	C201	72.992	72.285	0.000	0.00	1BB01T0512		Yes	No	Mark1	Mark2			Arc			No	S38_1
3	C201	91.122	42.025	0.000	0.00	1BB01T0512		Yes	No	Mark1	Mark2			Arc			No	S38_1
6	C201	91.122	57.155	0.000	0.00	1BB01T0512		Yes	No	Mark1	Mark2			Arc			No	S38_1
11	C201	91.122	72.285	0.000	0.00	1BB01T0512		Yes	No	Mark1	Mark2			Arc			No	S38_1
4	C201	109.252	42.025	0.000	0.00	1BB01T0512		Yes	No	Mark1	Mark2			Arc			No	S38_1
5	C201	109.252	57.155	0.000	0.00	1BB01T0512		Yes	No	Mark1	Mark2			Arc			No	S38_1
12	C201	109.252	72.285	0.000	0.00	1BB01T0512		Yes	No	Mark1	Mark2			Arc			No	S38_1
1	C202	51.103	47.643	0.000	90.00	1BB01T0416		Yes	No	Mark1	Mark2			Arc			No	S38_1
8	C202	51.103	62.773	0.000	90.00	1BB01T0416		Yes	No	Mark1	Mark2			Arc			No	S38_1
9	C202	51.103	77.903	0.000	90.00	1BB01T0416		Yes	No	Mark1	Mark2			Arc			No	S38_1
2	C202	69.233	47.643	0.000	90.00	1BB01T0416		Yes	No	Mark1	Mark2			Arc			No	S38_1
7	C202	69.233	62.773	0.000	90.00	1BB01T0416		Yes	No	Mark1	Mark2			Arc			No	S38_1
10	C202	69.233	77.903	0.000	90.00	1BB01T0416		Yes	No	Mark1	Mark2			Arc			No	S38_1
3	C202	87.363	47.643	0.000	90.00	1BB01T0416		Yes	No	Mark1	Mark2			Arc			No	S38_1
6	C202	87.363	62.773	0.000	90.00	1BB01T0416		Yes	No	Mark1	Mark2			Arc			No	S38_1
11	C202	87.363	77.903	0.000	90.00	1BB01T0416		Yes	No	Mark1	Mark2			Arc			No	S38_1
4	C202	105.493	47.643	0.000	90.00	1BB01T0416		Yes	No	Mark1	Mark2			Arc			No	S38_1
5	C202	105.493	62.773	0.000	90.00	1BB01T0416		Yes	No	Mark1	Mark2			Arc			No	S38_1
12	C202	105.493	77.903	0.000	90.00	1BB01T0416		Yes	No	Mark1	Mark2			Arc			No	S38_1
1	C203	55.540	43.050	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
8	C203	55.540	58.180	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
9	C203	55.540	73.310	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
2	C203	73.670	43.050	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
7	C203	73.670	58.180	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
10	C203	73.670	73.310	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
3	C203	91.800	43.050	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
6	C203	91.800	58.180	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
11	C203	91.800	73.310	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
4	C203	109.930	43.050	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
5	C203	109.930	58.180	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
