Designator,Library,Part Name,X,Y,Rotation,Z,Pattern,Head,Slot,NHP,NCP,Nozzle,Turn,TS,MS,PR,MArea,Skip
C201,TELIT-NPI-NEW,1BB01T0564,8.135,14.605,180,0,1,5,50006L,9,511,226,2,9,1,1000,1,
C202,TELIT-NPI-NEW,1BB01T0564,17.275,15.52,180,0,1,5,50006L,9,511,226,6,9,1,1000,1,
C203,TELIT-NPI-NEW,1BB01T0564,12.993,11.15,90,0,1,5,50006L,9,511,226,1,9,13,1000,1,
C204,TELIT-NPI-NEW,1BB01T0564,18.515,13.58,180,0,1,5,50006L,4,524,226,4,5,6,1000,1,
C205,TELIT-NPI-NEW,1BB01T0564,17.265,14.905,180,0,1,5,50006L,11,513,226,4,11,8,1000,1,
C206,TELIT-NPI-NEW,1BB01T0593,18.03,18.245,180,0,1,1,10008R,11,113,226,18,11,4,1000,1,
C207,TELIT-NPI-NEW,1BB01T0593,13.15,18.37,-90,0,1,1,10008R,8,128,226,18,1,16,1000,1,
C209,TELIT-NPI-NEW,1BB01T0564,17.27,14.195,180,0,1,5,50006L,10,512,226,6,10,16,1000,1,
C210,TELIT-NPI-NEW,1BB01T0564,17.29,13.585,180,0,1,5,50006L,9,511,226,4,9,16,1000,1,
C211,TELIT-NPI-NEW,1BB01T0564,11.616,14.17,90,0,1,5,50006L,9,511,226,3,9,8,1000,1,
C212,TELIT-NPI-NEW,1BB01T0564,18.515,12.875,180,0,1,5,50006L,10,512,226,3,10,11,1000,1,
C213,TELIT-NPI-NEW,1BB01T0513,17.1,19.495,-90,0,1,1,10007R,14,116,226,11,4,6,1000,1,
C214,TELIT-NPI-NEW,1BB01T0476,15.085,12.13,0,0,1,1,10005R,9,111,226,9,3,6,1000,1,
C215,TELIT-NPI-NEW,1BB01T0476,17.07,12.13,180,0,1,1,10005R,10,112,226,1,2,15,1000,1,
C217,TELIT-NPI-NEW,1BB01T0503,19.975,16.1,90,0,1,3,30007R,14,316,226,12,8,6,1000,1,
C218,TELIT-NPI-NEW,1BB01T0503,18.65,16.52,-90,0,1,3,30007R,9,311,226,1,2,2,1000,1,
C219,TELIT-NPI-NEW,1BB01T0593,15.625,17.77,0,0,1,1,10008R,10,112,226,15,4,7,1000,1,
C220,TELIT-NPI-NEW,1BB01T0393,20.525,16.1,-90,0,1,3,30007L,13,315,226,4,2,2,1000,1,
C221,TELIT-NPI-NEW,1BB01T0465,21.021,13.483,90,0,1,3,30008L,15,317,226,11,2,1,1000,1,
C222,TELIT-NPI-NEW,1BB01T0564,17.1,18.245,-90,0,1,5,50006L,10,512,226,4,10,14,1000,1,
C223,TELIT-NPI-NEW,1BB01T0564,18.31,19.275,90,0,1,5,50006L,10,512,226,1,10,3,1000,1,
C224,TELIT-NPI-NEW,1BB01T0564,13.648,11.155,-90,0,1,5,50006L,11,513,226,2,11,16,1000,1,
C225,TELIT-NPI-NEW,1BB01T0503,19.86,11.57,90,0,1,3,30007R,9,311,226,2,2,5,1000,1,
C227,TELIT-NPI-NEW,1BB01T0303,19.86,12.895,-90,0,1,1,10007L,13,115,226,1,2,4,1000,1,
C230,TELIT-NPI-NEW,1BB01T0503,19.86,10.42,90,0,1,3,30007R,10,312,226,1,1,16,1000,1,
C301,TELIT-NPI-NEW,1BB01T0564,8.235,12.445,-90,0,1,5,50006L,10,512,226,2,10,9,1000,1,
C302,TELIT-NPI-NEW,1BB01T0513,8.835,12.445,-90,0,1,1,10007R,13,115,226,11,3,2,1000,1,
C303,TELIT-NPI-NEW,1BB01T0512,8.128,18.905,180,0,1,7,70008R,4,723,230,6,1,1,1000,1,
C304,TELIT-NPI-NEW,1BB01T0314,11.868,18.635,180,0,1,1,10006L,11,113,226,1,2,10,1000,1,
C305,TELIT-NPI-NEW,1BB01T0593,8.535,10.185,180,0,1,1,10008R,10,112,226,18,10,1,1000,1,
C306,TELIT-NPI-NEW,1BB01T0588,10.888,19.305,-90,0,1,7,70006R,6,711,230,7,2,6,1000,1,
C307,TELIT-NPI-NEW,1BB01T0564,9.895,12.27,180,0,1,5,50006L,3,523,226,4,6,1,1000,1,
C308,TELIT-NPI-NEW,1BB01T0513,9.595,10.495,90,0,1,1,10007R,13,115,226,10,3,5,1000,1,
D201,TELIT-NPI-NEW,1YY0700123WAY,8.135,15.195,180,0,1,1,10005L,9,111,226,1,2,13,1000,1,
FL201,TELIT-NPI-NEW,1LL0500430MU,19.61,17.195,180,0,1,7,70007R,7,712,230,1,2,2,1000,1,
L201,TELIT-NPI-NEW,1CC01T0015,17.25,16.22,180,0,1,1,10006R,4,124,226,2,1,12,1000,1,
L202,TELIT-NPI-NEW,1CC01T0046,20.155,14.335,180,0,1,3,30006L,11,313,226,4,2,8,1000,1,
L203,TELIT-NPI-NEW,1CC01T0027,20.161,13.783,180,0,1,1,10011L,16,118,226,17,5,16,1000,1,
L204,TELIT-NPI-NEW,1CC01T0015,18.1,16.52,-90,0,1,1,10006R,12,114,226,1,2,7,1000,1,
L205,TELIT-NPI-NEW,1CC01T0033,20.71,10.72,180,0,1,1,10008L,15,117,226,7,2,15,1000,1,
L301,TELIT-NPI-NEW,1CC0101334MU,10.238,17.92,0,0,1,7,70005L,5,714,235,8,2,1,1000,1,
R102,TELIT-NPI-NEW,1AA01T0501,20.515,19.59,0,0,1,3,30008R,15,317,226,16,7,4,1000,1,
R105,TELIT-NPI-NEW,1AA01T0501,11.44,10.795,180,0,1,3,30008R,16,318,226,12,8,2,1000,1,
R106,TELIT-NPI-NEW,1AA01T0501,11.616,15.325,-90,0,1,3,30008R,9,311,226,18,9,3,1000,1,
R201,TELIT-NPI-NEW,1AA01T0598,8.135,14.025,180,0,1,1,10010L,14,116,226,13,3,2,1000,1,
R202,TELIT-NPI-NEW,1AA01T0646,8.135,13.475,0,0,1,1,10009L,13,115,226,13,4,5,1000,1,
R203,TELIT-NPI-NEW,1AA01T0526,17.73,19.275,-90,0,1,3,30005L,9,311,226,4,2,15,1000,1,
R204,TELIT-NPI-NEW,1AA01T0699,20.515,18.99,180,0,1,3,30006R,2,322,226,17,3,16,1000,1,
R205,TELIT-NPI-NEW,1AA01T0699,19.665,19.29,90,0,1,3,30006R,1,321,226,17,4,15,1000,1,
R302,TELIT-NPI-NEW,1AA01T0699,11.868,19.185,0,0,1,3,30006R,12,314,226,4,2,4,1000,1,
R303,TELIT-NPI-NEW,1AA01T0699,11.868,19.74,180,0,1,3,30006R,12,314,226,7,2,4,1000,1,
R305,TELIT-NPI-NEW,1AA01T0501,10.585,14.03,0,0,1,3,30008R,10,312,226,18,10,5,1000,1,
R307,TELIT-NPI-NEW,1AA01T0501,7.985,17.885,180,0,1,3,30008R,15,317,226,12,7,4,1000,1,
RKEY,TELIT-NPI-NEW,1AA01T0755,18.515,11.69,180,0,1,3,30005R,10,312,226,4,2,13,1000,1,
U201,TELIT-NPI-NEW,1DD0800440ARH,14.375,14.995,180,0,1,9,90018,1,922,1002,1,2,1,1000,1,
U202,TELIT-NPI-NEW,1DD0101078MXS,20.395,15.1,180,0,1,7,70007L,3,722,230,15,1,5,1000,1,
U301,TELIT-NPI-NEW,1DD0101242TPK,8.535,11.165,0,0,1,7,70006L,6,711,230,15,2,3,1000,1,
U302,TELIT-NPI-NEW,1DD0101236SGM,9.613,19.105,180,0,1,7,70008L,8,713,230,13,2,7,1000,1,
